x_rep,y_rep,tweet_id,tweets_preprocessed,preProcessed,clusterd,Jackcluster,centroid,important
-0.32984154978331365,-0.08245937058019524,'451286074757632000',tsunami warning earthquake hit chile ,tsunami warning earthquake hit chile ,2,1,chile coast earthquake magnitude northern quake tsunami,tsunami earthquake chile
-0.015445762238266901,0.2693574268762451,'451286345743233024',being safe harm always prayforchile ,being safe harm always prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.008226187276593933,0.24205385528415777,'451286374323191808',prayforchile hoping family friend going move safer place ,prayforchile hoping family friend going move safer place ,4,-1,case coronavirus mers saudi virus,
-0.027148002142722158,0.3495940632068536,'451286484625412096',prayforchile ,prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.2847689165660873,-0.06083585920143519,'451287098990292992',chile earthquake trigger tsunami five dead ,chile earthquake trigger tsunami five dead ,2,1,chile coast earthquake magnitude northern quake tsunami,chile earthquake tsunami
-0.027148002142722158,0.3495940632068536,'451287464947113984',prayforchile ,prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.11328772959866096,0.07799072770042272,'451287576973148160',sending prayer chile chileearthquake ,sending prayer chile chileearthquake ,1,2,chile coast earthquake northern,chile
-0.027148002142722158,0.3495940632068536,'451289244636438529',prayforchile ,prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.34416321227286834,0.08179730821771768,'451289286764032000',chile total earthquake still counting getting left right prayforchile ,chile total earthquake still counting getting left right prayforchile ,1,1,chile coast earthquake northern,chile earthquake
-0.22429431678906306,-0.051331444422774486,'451289361104261120',equity future spike chile earthquake usdjpy momentum ignition ,equity future spike chile earthquake usdjpy momentum ignition ,1,1,chile coast earthquake northern,chile earthquake
-0.1458976534173028,0.02095378727612477,'451289528397864960',picture evacuation chile pretty remarkable best wish ,picture evacuation chile pretty remarkable best wish ,1,2,chile coast earthquake northern,chile
-0.22783557046371455,-0.0290412686986357,'451289616641847297',googlenews least five dead earthquake strike near northern chile wall street journal montreal gazet ,googlenews least five dead earthquake strike near northern chile wall street journal montreal gazet ,1,0,chile coast earthquake northern,earthquake northern chile
-0.027148002142722158,0.3495940632068536,'451292019072049152',laurynmcclain fuerzachile prayforchile really hardens heart really truly ,laurynmcclain fuerzachile prayforchile really hardens heart really truly ,4,-1,case coronavirus mers saudi virus,
-0.20588310434519141,0.18532998956214608,'451292069605031936',prayforchile earthquake ,prayforchile earthquake ,1,1,chile coast earthquake northern,earthquake
-0.027148002142722158,0.3495940632068536,'451292183119679488',prayforchile guy ,prayforchile guy ,4,-1,case coronavirus mers saudi virus,
-0.3084350169098969,-0.10143193829663767,'451292839628898304',earthquake hit chile killing displacing ,earthquake hit chile killing displacing ,1,1,chile coast earthquake northern,earthquake chile
-0.1970390016462941,-0.008838959553216338,'451292864366923776',sending prayer affected disastrous earthquake chile help sure ,sending prayer affected disastrous earthquake chile help sure ,1,1,chile coast earthquake northern,earthquake chile
-0.2026709833769396,0.0011648104046274436,'451292911511281664',bless people chile fuerzachile praychile ,bless people chile fuerzachile praychile ,1,2,chile coast earthquake northern,chile
-0.21927004214481854,0.02270294218500745,'451292943404384256',indonesia say could small tsunami chile quake ,indonesia say could small tsunami chile quake ,2,2,chile coast earthquake magnitude northern quake tsunami,tsunami chile quake
-0.01844148581245699,0.23184525821110014,'451292972290932737',genkjw feel stupid donating money disaster recovery could thought tweeted prayforchile ,genkjw feel stupid donating money disaster recovery could thought tweeted prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.027148002142722158,0.3495940632068536,'451293010437763072',prayforchile ,prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.32980270506154585,-0.10324492344900983,'451293013763817472',powerful earthquake strike coast chile ,powerful earthquake strike coast chile ,1,1,chile coast earthquake northern,earthquake coast chile
-0.3457699960975657,-0.09738277019877259,'451293321835474944',teampapii people flee magnitude earthquake strike northern chile unete teampapii ,teampapii people flee magnitude earthquake strike northern chile unete teampapii ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake northern chile
-0.37141038946914684,-0.09899424243793606,'451293478589194240',magnitude earthquake chile northern coast kill prompt tsunami warning ,magnitude earthquake chile northern coast kill prompt tsunami warning ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile northern coast tsunami
-0.28775485207775986,-0.03664487044694791,'451293572902301696',five dead magnitude quake hit northern chile powerful magnitude earthquake struck northern ,five dead magnitude quake hit northern chile powerful magnitude earthquake struck northern ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude quake northern chile magnitude earthquake northern
-0.3457699960975657,-0.09738277019877259,'451293709288472576',people flee magnitude earthquake strike northern chile ,people flee magnitude earthquake strike northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake northern chile
-0.35656833394827153,-0.12623222756524816,'451293728678760448',earthquake strike coast chile ,earthquake strike coast chile ,1,1,chile coast earthquake northern,earthquake coast chile
-0.22361444886277104,0.022714544484676955,'451293812791738369',france tsunami warning quake strik pacific chile hawaii southamerica ecuador calipette ,france tsunami warning quake strik pacific chile hawaii southamerica ecuador calipette ,2,2,chile coast earthquake magnitude northern quake tsunami,tsunami quake chile
-0.32471767282281144,-0.0949526575830818,'451293821562011648',indonesia say could tsunami chile earthquake online ,indonesia say could tsunami chile earthquake online ,2,1,chile coast earthquake magnitude northern quake tsunami,tsunami chile earthquake
-0.35656833394827153,-0.12623222756524816,'451294070757797888',earthquake strike coast chile ,earthquake strike coast chile ,1,1,chile coast earthquake northern,earthquake coast chile
-0.3457699960975657,-0.09738277019877259,'451294409594634241',telegraph people flee magnitude earthquake strike northern chile ,telegraph people flee magnitude earthquake strike northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake northern chile
-0.10266359216571717,0.07095416428812011,'451294437336170496',praying people chile stay safe possible ,praying people chile stay safe possible ,1,2,chile coast earthquake northern,chile
-0.2731111108056535,-0.05800204121292905,'451294459313938433',huge earthquake chile north coast trigger tsunami ,huge earthquake chile north coast trigger tsunami ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake chile coast tsunami
-0.26036748932756765,-0.054314392001811616,'451294941889572864',tweeted time powerful earthquake strike coast chile ,tweeted time powerful earthquake strike coast chile ,1,1,chile coast earthquake northern,earthquake coast chile
-0.2731111108056535,-0.05800204121292905,'451295241107025920',huge earthquake chile north coast trigger tsunami ,huge earthquake chile north coast trigger tsunami ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake chile coast tsunami
-0.22104242324107778,-0.02322737458833175,'451295348175011840',chile earthquake least five dead president declares northern disaster zone radio australia ,chile earthquake least five dead president declares northern disaster zone radio australia ,1,0,chile coast earthquake northern,chile earthquake northern
-0.19699099179014903,0.0004989757399037938,'451295461974884352',incredible video show tsunami spread across pacific ocean following chile earthquake ,incredible video show tsunami spread across pacific ocean following chile earthquake ,2,1,chile coast earthquake magnitude northern quake tsunami,tsunami chile earthquake
-0.22528607364448272,-0.029056594837096994,'451295594204897280',chile earthquake trending today major earthquake magnitude struck coast chile tuesday ,chile earthquake trending today major earthquake magnitude struck coast chile tuesday ,3,1,chile coast earthquake magnitude northern quake tsunami,chile earthquake earthquake magnitude coast chile
-0.2307689873455028,-0.0392277227448245,'451295873297690624',killed huge earthquake chile coast triggersÃ¥Ãªtsunami ,killed huge earthquake chile coast triggersÃ¥Ãªtsunami ,1,1,chile coast earthquake northern,earthquake chile coast
-0.19705193854713224,-0.017359116502443386,'451296615010013184',five killed ten thousand evacuated huge earthquake hit chile ,five killed ten thousand evacuated huge earthquake hit chile ,1,1,chile coast earthquake northern,earthquake chile
-0.1918945166104656,0.03261756326180252,'451296651122966528',deadly quake strike coast chile ,deadly quake strike coast chile ,3,2,chile coast earthquake magnitude northern quake tsunami,quake coast chile
-0.19889211009177413,0.015908617737119705,'451296996490346496',unbelievable larryferlazzo stevesilberman evacuation progress tsunami warning iquique chile ,unbelievable larryferlazzo stevesilberman evacuation progress tsunami warning iquique chile ,2,2,chile coast earthquake magnitude northern quake tsunami,tsunami chile
-0.35656833394827153,-0.12623222756524816,'451297320336752640',earthquake strike coast chile ,earthquake strike coast chile ,1,1,chile coast earthquake northern,earthquake coast chile
-0.25120137843167895,0.11611429770276338,'451297797094916096',misterbanatero prayforchile earthquake tsunami warning ,misterbanatero prayforchile earthquake tsunami warning ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake tsunami
-0.30517930213299427,-0.07117389060862357,'451297993564495872',dead magnitude earthquake hit northern chile ,dead magnitude earthquake hit northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake northern chile
-0.2963238042863514,-0.058092086029513636,'451298191846420480',five dead tsunami watch effect chile earthquake coast detail newsatsunrise ,five dead tsunami watch effect chile earthquake coast detail newsatsunrise ,2,1,chile coast earthquake magnitude northern quake tsunami,tsunami chile earthquake coast
-0.2406955135202249,-0.0329562166210755,'451298441499795456',update huge earthquake chile north coast trigger tsunami ,update huge earthquake chile north coast trigger tsunami ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake chile coast tsunami
-0.2321187444630577,0.025227380810667437,'451298692994064384',lainfoes people evacuated chile quake tsunami alert tropa ,lainfoes people evacuated chile quake tsunami alert tropa ,2,2,chile coast earthquake magnitude northern quake tsunami,chile quake tsunami
-0.087988849011003,0.10494989606476675,'451299040466989056',california tsunami warning however could rise according noaa inch nbcbayarea chileearthquake ,california tsunami warning however could rise according noaa inch nbcbayarea chileearthquake ,2,2,chile coast earthquake magnitude northern quake tsunami,tsunami
-0.1918945166104656,0.03261756326180252,'451299098558091264',deadly quake strike coast chile ,deadly quake strike coast chile ,3,2,chile coast earthquake magnitude northern quake tsunami,quake coast chile
-0.19868290270802055,0.03678164730457722,'451299112882032640',least five dead fishing vessel destroyed quake chile ,least five dead fishing vessel destroyed quake chile ,3,2,chile coast earthquake magnitude northern quake tsunami,quake chile
-0.25120137843167895,0.11611429770276338,'451299480692731904',prayforchile earthquake tsunami warning ,prayforchile earthquake tsunami warning ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake tsunami
-0.3578176741124576,0.017291964284856316,'451299877733941249',magnitude earthquake strike chile followed tsunami warning much give strength prayforchile ,magnitude earthquake strike chile followed tsunami warning much give strength prayforchile ,2,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile tsunami
-0.2067018761295525,0.02369811600529771,'451300025834827777',tsunami wave going hawaii result tuesday magnitude quake chile happen around eastern ,tsunami wave going hawaii result tuesday magnitude quake chile happen around eastern ,3,2,chile coast earthquake magnitude northern quake tsunami,tsunami magnitude quake chile
-0.30517930213299427,-0.07117389060862357,'451300039055650816',five dead magnitude earthquake hit northern chile ,five dead magnitude earthquake hit northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake northern chile
-0.21631558834846476,0.00769262216304359,'451300081917231105',_Ã¡rt cnnbrk interior minister death reported magnitude earthquake coast northern chile ,_Ã¡rt cnnbrk interior minister death reported magnitude earthquake coast northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake coast northern chile
-0.027920885786654984,0.2738098968663072,'451300301254184960',pointing prayer always portrayed fashionable hashtag situation doyouevenpraytho prayforchile ,pointing prayer always portrayed fashionable hashtag situation doyouevenpraytho prayforchile ,4,-1,case coronavirus mers saudi virus,
-0.24250060708749246,-0.03143022151406911,'451300338789019648',major earthquake rock chile northern coast killing least five people forcing hundred thousand evacuate ,major earthquake rock chile northern coast killing least five people forcing hundred thousand evacuate ,1,0,chile coast earthquake northern,earthquake chile northern coast
-0.22760791581881906,0.012815259235315473,'451300362901680128',dead powerful quake strike chile coast ,dead powerful quake strike chile coast ,3,2,chile coast earthquake magnitude northern quake tsunami,quake chile coast
-0.38519753309003507,-0.11267590456149572,'451300464269983744',five dead magnitude earthquake coast chile tsunami latest aftermath morning foxnola ,five dead magnitude earthquake coast chile tsunami latest aftermath morning foxnola ,3,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake coast chile tsunami
-0.22588719500379245,0.06655498166208045,'451300558935060481',earthquake tsunami warning chile please pray worried prayforchile ,earthquake tsunami warning chile please pray worried prayforchile ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake tsunami chile
-0.15025111822543757,0.04794794959620997,'451301328493375488',chile peru border remains closed inmate escaped woman prison city iquique arica taking advantage quake ,chile peru border remains closed inmate escaped woman prison city iquique arica taking advantage quake ,3,2,chile coast earthquake magnitude northern quake tsunami,chile quake
-0.27346868872403485,-0.04659169048523067,'451301788990197761',indonesia say could tsunami chile earthquake news ,indonesia say could tsunami chile earthquake news ,2,1,chile coast earthquake magnitude northern quake tsunami,tsunami chile earthquake
-0.25062101582005325,-0.030423780738894155,'451302189135577088',praying chile quake disaster victim grant fortitude bear huge loss result magnitude earthquake ,praying chile quake disaster victim grant fortitude bear huge loss result magnitude earthquake ,3,0,chile coast earthquake magnitude northern quake tsunami,chile quake magnitude earthquake
-0.34021531564499463,-0.10024800773203627,'451302956634497024',davidnelsonnews nearly million people forced evacuate earthquake chile coast ,davidnelsonnews nearly million people forced evacuate earthquake chile coast ,1,1,chile coast earthquake northern,earthquake chile coast
-0.2954537964425616,-0.0875249852699878,'451302990776123392',teachable moment magnitude earthquake offshore chile ,teachable moment magnitude earthquake offshore chile ,3,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile
-0.31543176311502846,-0.07995046176859495,'451303167364702208',edwarddevega earthquake powerful earthquake slam coast chile tsunami wave ,edwarddevega earthquake powerful earthquake slam coast chile tsunami wave ,2,1,chile coast earthquake magnitude northern quake tsunami,earthquake earthquake coast chile tsunami
-0.18336951639369112,0.030234867847274114,'451303636556328960',chile earthquake spark tsunamiwarning evacuation thousand death reported people coast spendi ,chile earthquake spark tsunamiwarning evacuation thousand death reported people coast spendi ,1,1,chile coast earthquake northern,chile earthquake coast
-0.22682680205643374,-0.005791393317584169,'451304386728177664',northern chile waking shake city fine tsunami warning cancelled santiago msg ,northern chile waking shake city fine tsunami warning cancelled santiago msg ,2,0,chile coast earthquake magnitude northern quake tsunami,northern chile tsunami
-0.294416199445314,-0.06211268637482918,'451304870088548353',magnitude earthquake hit northern chile news ,magnitude earthquake hit northern chile news ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake northern chile
-0.1629590731527753,0.030277468079173985,'451304975033847808',canadafreepress chile tsunami least five dead huge wave triggered twister teaparty ,canadafreepress chile tsunami least five dead huge wave triggered twister teaparty ,2,1,chile coast earthquake magnitude northern quake tsunami,chile tsunami
-0.1970656552891578,0.032323060782069465,'451305166638030848',massive quake hit near chile coast tsunami warning issued resident evacuating ,massive quake hit near chile coast tsunami warning issued resident evacuating ,2,2,chile coast earthquake magnitude northern quake tsunami,quake chile coast tsunami
-0.2607044275490994,-0.04599725090495722,'451305585758064640',magnitude earthquake strike chile killing people region feeling aftershock read ,magnitude earthquake strike chile killing people region feeling aftershock read ,3,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile
-0.2711771328020529,-0.03516388953125376,'451306443162279937',anews chilean interior minister people dead magnitude earthquake strike coast chile ,anews chilean interior minister people dead magnitude earthquake strike coast chile ,3,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake coast chile
-0.1791950619149853,0.005298504619186735,'451307097028718592',latest news major earthquake shore chile kill prompt coastal evacuation latism radio latism miami ,latest news major earthquake shore chile kill prompt coastal evacuation latism radio latism miami ,1,1,chile coast earthquake northern,earthquake chile
-0.08599039496905493,0.09948428757575736,'451308164932440064',chileearthquake update chilean interior minister report dead state emergency declared part northern chile ,chileearthquake update chilean interior minister report dead state emergency declared part northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,northern chile
-0.28574510580462703,-0.0578381239920808,'451308960109195266',powerful magnitude earthquake chile kill least hope tsunami anywhere ,powerful magnitude earthquake chile kill least hope tsunami anywhere ,2,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile tsunami
-0.162044607830027,0.061476602056798085,'451314370195496960',morning least people dead massive quake chile ,morning least people dead massive quake chile ,3,2,chile coast earthquake magnitude northern quake tsunami,quake chile
-0.294822476755974,-0.08053592881499934,'451318521264209920',earthquake near coast northern chile ,earthquake near coast northern chile ,1,0,chile coast earthquake northern,earthquake coast northern chile
-0.23751154223435372,-0.04535294045570576,'451319815387742208',nasa_eo nws_ptwc teachable moment magnitude earthquake offshore chile animation available ,nasa_eo nws_ptwc teachable moment magnitude earthquake offshore chile animation available ,3,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile
-0.294822476755974,-0.08053592881499934,'451320116995559425',earthquake near coast northern chile ,earthquake near coast northern chile ,1,0,chile coast earthquake northern,earthquake coast northern chile
-0.18944346288147126,0.032045505359143016,'451320801581486080',quake hit chile korea trade fire ,quake hit chile korea trade fire ,3,2,chile coast earthquake magnitude northern quake tsunami,quake chile
-0.426019593289973,-0.17860701715340263,'451321075880951808',victoria_witter wrong vicky yesterday earthquake northern chile thank thing improving ,victoria_witter wrong vicky yesterday earthquake northern chile thank thing improving ,1,0,chile coast earthquake northern,earthquake northern chile
-0.3475544829720989,-0.067836007729178,'451326605026394112',toll mount wake chile quake magnitude earthquake northern chile triggered tsunami ,toll mount wake chile quake magnitude earthquake northern chile triggered tsunami ,3,0,chile coast earthquake magnitude northern quake tsunami,chile quake magnitude earthquake northern chile tsunami
-0.27392150398494947,-0.0845094645301929,'451326995545092096',chile earthquake cctv video ,chile earthquake cctv video ,1,1,chile coast earthquake northern,chile earthquake
-0.5760092933797528,-0.3050875359568472,'451329363300986881',chile earthquake ,chile earthquake ,1,1,chile coast earthquake northern,chile earthquake
-0.1656677372948032,0.005616068646076828,'451331388583591936',major earthquake shore chile kill prompt coastal evacuation authority kept hundred ,major earthquake shore chile kill prompt coastal evacuation authority kept hundred ,1,1,chile coast earthquake northern,earthquake chile
-0.26774827145530594,0.08378553968266918,'451332410706522112',earthquakechile prayforchile earthquake measuring richter scale hit chile mailonline prayforchile ,earthquakechile prayforchile earthquake measuring richter scale hit chile mailonline prayforchile ,1,1,chile coast earthquake northern,earthquake chile
-0.20920194102322998,0.0026144231504076545,'451333128372506626',news update people killed earthquake chile coast breaking ,news update people killed earthquake chile coast breaking ,1,1,chile coast earthquake northern,earthquake chile coast
-0.1653609022908657,0.015283724076671192,'451333448599609344',nearly million resident forced evacuate following earthquake chile coast hope safe ,nearly million resident forced evacuate following earthquake chile coast hope safe ,1,1,chile coast earthquake northern,earthquake chile coast
-0.23308817144198898,-0.04982852763648435,'451334367508316161',infoseismic earthquake near iquique chile ,infoseismic earthquake near iquique chile ,1,1,chile coast earthquake northern,earthquake chile
-0.2719622456066549,-0.06855480301385375,'451334970494054400',powerful earthquake rattle northern chile printdeals ,powerful earthquake rattle northern chile printdeals ,1,0,chile coast earthquake northern,earthquake northern chile
-0.2259782193612612,-0.018861209911595303,'451335138857607169',update people killed earthquake chile coast ,update people killed earthquake chile coast ,1,1,chile coast earthquake northern,earthquake chile coast
-0.17838078958697093,0.016189218958011137,'451335390633291776',jaheadlines earthquake chile least death reported luis andres henao associated pressÃ¥Ãª Ã¥Ãªapril ,jaheadlines earthquake chile least death reported luis andres henao associated pressÃ¥Ãª Ã¥Ãªapril ,1,1,chile coast earthquake northern,earthquake chile
-0.2259782193612612,-0.018861209911595303,'451335407217545216',update people killed earthquake chile coast ,update people killed earthquake chile coast ,1,1,chile coast earthquake northern,earthquake chile coast
-0.20278341521177465,0.021587890006848402,'451335636617011200',number dead rise earthquake chile number remarkably country quake prepared ,number dead rise earthquake chile number remarkably country quake prepared ,3,0,chile coast earthquake magnitude northern quake tsunami,earthquake chile quake
-0.2719622456066549,-0.06855480301385375,'451335975289880576',powerful earthquake rattle northern chile ,powerful earthquake rattle northern chile ,1,0,chile coast earthquake northern,earthquake northern chile
-0.2259782193612612,-0.018861209911595303,'451336002708459520',update people killed earthquake chile coast ,update people killed earthquake chile coast ,1,1,chile coast earthquake northern,earthquake chile coast
-0.26109592504429524,-0.0021989396035486356,'451337693482319872',chile quake woman escape prison ,chile quake woman escape prison ,3,2,chile coast earthquake magnitude northern quake tsunami,chile quake
-0.22715966078249578,-0.026267211191380216,'451338184518279169',massive earthquake kill least people chile ,massive earthquake kill least people chile ,1,1,chile coast earthquake northern,earthquake chile
-0.21629712472324478,-0.021328766348432227,'451341445484789760',alabamaquake aftershock northern chile following major earthquake last night ,alabamaquake aftershock northern chile following major earthquake last night ,1,0,chile coast earthquake northern,northern chile earthquake
-0.290277144938648,-0.04364539499179813,'451341970431279104',magnitude earthquake struck coast northern chile geologist expect larger quake unsure today ,magnitude earthquake struck coast northern chile geologist expect larger quake unsure today ,3,0,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake coast northern chile quake
-0.2719622456066549,-0.06855480301385375,'451342480772853760',powerful earthquake rattle northern chile ,powerful earthquake rattle northern chile ,1,0,chile coast earthquake northern,earthquake northern chile
-0.2548874150351975,-0.06528237795469545,'451343111877193728',powerful earthquake rock chile evacuated ,powerful earthquake rock chile evacuated ,1,1,chile coast earthquake northern,earthquake chile
-0.25297516754681165,-0.07104673249822209,'451343617215307776',pray chile earthquake ,pray chile earthquake ,1,1,chile coast earthquake northern,chile earthquake
-0.25811044175716114,-0.073857025159225,'451344693578584065',earthquake effect chile peru ecuador colombia panama costa rica ,earthquake effect chile peru ecuador colombia panama costa rica ,1,1,chile coast earthquake northern,earthquake chile
-0.18568152698544022,0.04150346745890534,'451345481990295552',authority lift tsunami threat quake kill northern chile ,authority lift tsunami threat quake kill northern chile ,2,0,chile coast earthquake magnitude northern quake tsunami,tsunami quake northern chile
-0.3543815840296641,-0.10284832177243072,'451345750325071872',farthermost northern chile richter earthquake last night setting tsunami alert along coastline ,farthermost northern chile richter earthquake last night setting tsunami alert along coastline ,2,0,chile coast earthquake magnitude northern quake tsunami,northern chile earthquake tsunami
-0.23751154223435372,-0.04535294045570576,'451346180946296832',nasa_eo nws_ptwc teachable moment magnitude earthquake offshore chile animation available ,nasa_eo nws_ptwc teachable moment magnitude earthquake offshore chile animation available ,3,1,chile coast earthquake magnitude northern quake tsunami,magnitude earthquake chile
-0.3084350169098969,-0.10143193829663767,'451346383308468224',hundred inmate escape earthquake hit chile ,hundred inmate escape earthquake hit chile ,1,1,chile coast earthquake northern,earthquake chile
-0.294822476755974,-0.08053592881499934,'451346600070107136',earthquake near coast northern chile ,earthquake near coast northern chile ,1,0,chile coast earthquake northern,earthquake coast northern chile
-0.27222440476092064,-0.019867543356346065,'451347155685736448',reading earth quake northern chile hoping praying everyone stay safe earthquake tsunami northernchile ,reading earth quake northern chile hoping praying everyone stay safe earthquake tsunami northernchile ,2,0,chile coast earthquake magnitude northern quake tsunami,quake northern chile earthquake tsunami
-0.2566894860967015,-0.05653976577857028,'451348529055690753',antonsolamente powerful earthquake kill chile santiago magnitude antonsolamente ,antonsolamente powerful earthquake kill chile santiago magnitude antonsolamente ,3,1,chile coast earthquake magnitude northern quake tsunami,earthquake chile magnitude
-0.2758065671008317,-0.06234047616665531,'451348749554442240',powerful earthquake kill chile santiago magnitude earthquake northern chile ,powerful earthquake kill chile santiago magnitude earthquake northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,earthquake chile magnitude earthquake northern chile
-0.2157626196190215,0.02634162367895926,'451348759172349952',tsunami threat lifted quake kill northern chile ,tsunami threat lifted quake kill northern chile ,2,0,chile coast earthquake magnitude northern quake tsunami,tsunami quake northern chile
-0.2758065671008317,-0.06234047616665531,'451349026000994304',powerful earthquake kill chile santiago magnitude earthquake northern chile ,powerful earthquake kill chile santiago magnitude earthquake northern chile ,3,0,chile coast earthquake magnitude northern quake tsunami,earthquake chile magnitude earthquake northern chile
